Time,Elo,Ano
Corinthians,"1193,14",2015
Gremio,"1128,2",2015
Cruzeiro,"1120,94",2015
Atletico-MG,"1118,91",2015
Sao Paulo,"1112,92",2015
Internacional,"1107,7",2015
Sport,"1081,34",2015
Santos,"1079,35",2015
Athletico-PR,"1040,64",2015
Coritiba,"1027,83",2015
Vasco,"1024,31",2015
Flamengo,"1019,04",2015
Ponte Preta,"1014,55",2015
Chapecoense,"1011,92",2015
Fluminense,"1011,41",2015
Palmeiras,"1009,8",2015
Figueirense,"1001,41",2015
Avai,"976,72",2015
Goias,"971,26",2015
Joinville,"947,02",2015
Palmeiras,"1156,06",2016
Santos,"1137,27",2016
Flamengo,"1126,3",2016
Atletico-MG,"1114,42",2016
Corinthians,"1092,61",2016
Cruzeiro,"1081,71",2016
Sao Paulo,"1071,35",2016
Gremio,"1058,57",2016
Athletico-PR,"1057,95",2016
Botafogo-RJ,"1057,03",2016
Chapecoense,"1049,3",2016
Sport,"1037,29",2016
Ponte Preta,"1032,94",2016
Coritiba,"1024,39",2016
Internacional,"1023,94",2016
Fluminense,"1011,11",2016
Vitoria,"998,91",2016
Figueirense,"964,37",2016
America-MG,"928,71",2016
Santa Cruz,"899,4",2016
Santos,"1124,86",2017
Palmeiras,"1120,35",2017
Corinthians,"1120,13",2017
Atletico-MG,"1097,2",2017
Flamengo,"1086,93",2017
Cruzeiro,"1082,68",2017
Gremio,"1075,02",2017
Vasco,"1073,32",2017
Chapecoense,"1071,46",2017
Sao Paulo,"1064,91",2017
Athletico-PR,"1052,81",2017
Botafogo-RJ,"1050,39",2017
Bahia,"1026,45",2017
Fluminense,"1016,33",2017
Sport,"1015,09",2017
Avai,"1007,25",2017
Vitoria,"1005,5",2017
Coritiba,"999,95",2017
Ponte Preta,"976,96",2017
Atletico-GO,"964,75",2017
Palmeiras,"1205,82",2018
Flamengo,"1140,95",2018
Gremio,"1116,14",2018
Internacional,"1103,31",2018
Athletico-PR,"1092,43",2018
Sao Paulo,"1091,11",2018
Atletico-MG,"1086,8",2018
Santos,"1067,71",2018
Cruzeiro,"1062,27",2018
Botafogo-RJ,"1056,23",2018
Bahia,"1032,06",2018
Chapecoense,"1030,45",2018
Corinthians,"1029,49",2018
Vasco,"1026,66",2018
Ceara,"1014,37",2018
Fluminense,"1001,89",2018
Sport,"998,33",2018
Vitoria,"968,05",2018
America-MG,"952,74",2018
Parana,"903,51",2018
Flamengo,"1241,91",2019
Palmeiras,"1190,84",2019
Santos,"1143,18",2019
Athletico-PR,"1135,92",2019
Gremio,"1135,68",2019
Sao Paulo,"1110,89",2019
Internacional,"1082,98",2019
Corinthians,"1052,7",2019
Vasco,"1045,75",2019
Fortaleza,"1040,79",2019
Atletico-MG,"1039,14",2019
Bahia,"1028,13",2019
Fluminense,"1027,77",2019
Goias,"1026,77",2019
Cruzeiro,"996,71",2019
Botafogo-RJ,"994,59",2019
Ceara,"984,26",2019
Chapecoense,"971,74",2019
CSA,"941,24",2019
Avai,"904,75",2019
Flamengo,"1214,67",2020
Sao Paulo,"1176,62",2020
Palmeiras,"1165,51",2020
Gremio,"1154,46",2020
Internacional,"1116,91",2020
Santos,"1111,55",2020
Atletico-MG,"1096,13",2020
Corinthians,"1081,27",2020
Athletico-PR,"1081,11",2020
Fluminense,"1063,02",2020
Ceara,"1033,78",2020
Fortaleza,"1026,15",2020
Bragantino,"1016,99",2020
Atletico-GO,"1013,59",2020
Vasco,"1013,02",2020
Bahia,"994,01",2020
Goias,"991,44",2020
Sport,"982,27",2020
Botafogo-RJ,"963,74",2020
Coritiba,"948,1",2020
Atletico-MG,"1205,69",2021
Flamengo,"1181,12",2021
Palmeiras,"1127,82",2021
Corinthians,"1086,95",2021
Sao Paulo,"1083,89",2021
Santos,"1083,21",2021
Fluminense,"1081,46",2021
Bragantino,"1075,41",2021
Atletico-GO,"1075,01",2021
Ceara,"1064,25",2021
Internacional,"1062,36",2021
Gremio,"1059,27",2021
America-MG,"1055,85",2021
Fortaleza,"1049,29",2021
Athletico-PR,"1045,95",2021
Cuiaba,"1037,05",2021
Juventude,"1023,24",2021
Bahia,"1009,75",2021
Sport,"988,54",2021
Chapecoense,"873,98",2021
Palmeiras,"1208,3",2022
Internacional,"1164,08",2022
Fluminense,"1142,24",2022
Atletico-MG,"1134,04",2022
Flamengo,"1129,29",2022
Corinthians,"1115,31",2022
Fortaleza,"1092,8",2022
Sao Paulo,"1088,32",2022
Athletico-PR,"1073,68",2022
America-MG,"1064,64",2022
Santos,"1033,98",2022
Botafogo-RJ,"1021,68",2022
Bragantino,"1018,03",2022
Goias,"1014,17",2022
Cuiaba,"1012,55",2022
Atletico-GO,"1003,14",2022
Ceara,"991,86",2022
Coritiba,"973,29",2022
Avai,"920,42",2022
Juventude,"913,36",2022
Palmeiras,"1189,81",2023
Atletico-MG,"1156,54",2023
Flamengo,"1143,42",2023
Internacional,"1123,82",2023
Gremio,"1122,72",2023
Fluminense,"1098,11",2023
Corinthians,"1093,59",2023
Athletico-PR,"1087,81",2023
Sao Paulo,"1086,04",2023
Bragantino,"1082,04",2023
Fortaleza,"1079,46",2023
Botafogo-RJ,"1069,32",2023
Cuiaba,"1049,16",2023
Vasco,"1032,78",2023
Cruzeiro,"1032,15",2023
Santos,"1019,46",2023
Bahia,"1016,85",2023
Goias,"988,06",2023
America-MG,"947,85",2023
Coritiba,"940,88",2023